taxonId,taxon
caloptilia_elongella,Caloptilia elongella
caloptilia_rufipennella,Caloptilia rufipennella
caloptilia_stigmatella,Caloptilia stigmatella
calybites_phasianipennella,Calybites phasianipennella
cameraria_ohridella,Cameraria ohridella
campaea_margaritaria,Campaea margaritaria
camptogramma_bilineata,Camptogramma bilineata
camptogramma_bilineata_subsp__bilineata,Camptogramma bilineata subsp. bilineata
camptogramma_bilineata_subsp__hibernica,Camptogramma bilineata subsp. hibernica
capperia_britanniodactylus,Capperia britanniodactylus
capua_vulgana,Capua vulgana
caradrina_clavipalpis,Caradrina clavipalpis
caradrina_morpheus,Caradrina morpheus
carcina_quercana,Carcina quercana
carpatolechia_alburnella,Carpatolechia alburnella
carpatolechia_decorella,Carpatolechia decorella
carpatolechia_fugitivella,Carpatolechia fugitivella
carpatolechia_notatella,Carpatolechia notatella
carpatolechia_proximella,Carpatolechia proximella
carsia_sororiata,Carsia sororiata
carsia_sororiata_anglica,Carsia sororiata anglica
caryocolum,Caryocolum
caryocolum_blandella,Caryocolum blandella
caryocolum_fraternella,Caryocolum fraternella
caryocolum_marmorea,Caryocolum marmorea
caryocolum_tricolorella,Caryocolum tricolorella
cataclysta_lemnata,Cataclysta lemnata
catocala_fraxini,Catocala fraxini
catocala_nupta,Catocala nupta
catoptria_falsella,Catoptria falsella
catoptria_furcatellus,Catoptria furcatellus
catoptria_margaritella,Catoptria margaritella
catoptria_margaritella_subsp__margaritella,Catoptria margaritella subsp. margaritella
catoptria_pinella,Catoptria pinella
cauchas_fibulella,Cauchas fibulella
cauchas_rufimitrella,Cauchas rufimitrella
cedestis_gysseleniella,Cedestis gysseleniella
cedestis_subfasciella,Cedestis subfasciella
celaena,Celaena
celaena_haworthii,Celaena haworthii
celypha_cespitana,Celypha cespitana
celypha_lacunana,Celypha lacunana
celypha_rivulana,Celypha rivulana
celypha_rosaceana,Celypha rosaceana
celypha_rufana,Celypha rufana
celypha_striana,Celypha striana
ceramica_pisi,Ceramica pisi
cerapteryx_graminis,Cerapteryx graminis
cerastis_leucographa,Cerastis leucographa
cerastis_rubricosa,Cerastis rubricosa
cerura_vinula,Cerura vinula
charanyca_trigrammica,Charanyca trigrammica
charissa_obscurata,Charissa obscurata
chesias_legatella,Chesias legatella
chesias_rufata,Chesias rufata
chesias_rufata_rufata,Chesias rufata rufata
chiasmia_clathrata,Chiasmia clathrata
chiasmia_clathrata_clathrata,Chiasmia clathrata clathrata
chilo_phragmitella,Chilo phragmitella
chilodes_maritima,Chilodes maritima
chionodes_distinctella,Chionodes distinctella
chlorissa_viridata,Chlorissa viridata
chloroclysta,Chloroclysta
chloroclysta_miata,Chloroclysta miata
chloroclysta_siterata,Chloroclysta siterata
chloroclysta_truncata_citrata,Chloroclysta truncata/citrata
chloroclystis_v_ata,Chloroclystis v-ata
choreutis_pariana,Choreutis pariana
choristoneura_diversana,Choristoneura diversana
choristoneura_hebenstreitella,Choristoneura hebenstreitella
chrysoclista_linneella,Chrysoclista linneella
chrysodeixis_chalcites,Chrysodeixis chalcites
chrysoesthia_sexguttella,Chrysoesthia sexguttella
chrysoteuchia_culmella,Chrysoteuchia culmella
cidaria_fulvata,Cidaria fulvata
cilix_glaucata,Cilix glaucata
cirrhia_gilvago,Cirrhia gilvago
cirrhia_icteritia,Cirrhia icteritia
clavigesta_purdeyi,Clavigesta purdeyi
cleora_cinctaria,Cleora cinctaria
cleorodes_lichenaria,Cleorodes lichenaria
clepsis_consimilana,Clepsis consimilana
clepsis_senecionana,Clepsis senecionana
clepsis_spectrana,Clepsis spectrana
clostera_curtula,Clostera curtula
clostera_pigra,Clostera pigra
cnephasia,Cnephasia
cnephasia_asseclana,Cnephasia asseclana
cnephasia_communana,Cnephasia communana
cnephasia_conspersana,Cnephasia conspersana
cnephasia_incertana,Cnephasia incertana
cnephasia_longana,Cnephasia longana
cnephasia_pasiuana,Cnephasia pasiuana
cnephasia_stephensiana,Cnephasia stephensiana
cochylichroa_atricapitana,Cochylichroa atricapitana
cochylidia_implicitana,Cochylidia implicitana
cochylidia_rupicola,Cochylidia rupicola
cochylimorpha,Cochylimorpha
cochylimorpha_straminea,Cochylimorpha straminea
coenobia_rufa,Coenobia rufa
coenocalpe,Coenocalpe
coenophila_subrosea,Coenophila subrosea
coenotephria_salicata,Coenotephria salicata
coenotephria_salicata_salicata,Coenotephria salicata salicata
coleophora,Coleophora
coleophora_adjectella,Coleophora adjectella
coleophora_albicosta,Coleophora albicosta
coleophora_albidella,Coleophora albidella
coleophora_alticolella,Coleophora alticolella
coleophora_alticolella_glaucicolella,Coleophora alticolella/glaucicolella
coleophora_anatipennella,Coleophora anatipennella
coleophora_argentula,Coleophora argentula
coleophora_caespititiella,Coleophora caespititiella
coleophora_deauratella,Coleophora deauratella
coleophora_discordella,Coleophora discordella
coleophora_flavipennella,Coleophora flavipennella
coleophora_fuscocuprella,Coleophora fuscocuprella
coleophora_glaucicolella,Coleophora glaucicolella
coleophora_gryphipennella,Coleophora gryphipennella
coleophora_juncicolella,Coleophora juncicolella
coleophora_laricella,Coleophora laricella
coleophora_lineolea,Coleophora lineolea
coleophora_lixella,Coleophora lixella
coleophora_lusciniaepennella,Coleophora lusciniaepennella
coleophora_lutipennella,Coleophora lutipennella
coleophora_maritimella,Coleophora maritimella
coleophora_mayrella,Coleophora mayrella
coleophora_milvipennis,Coleophora milvipennis
coleophora_otidipennella,Coleophora otidipennella
coleophora_paripennella,Coleophora paripennella
coleophora_peribenanderi,Coleophora peribenanderi
coleophora_pyrrhulipennella,Coleophora pyrrhulipennella
coleophora_saxicolella,Coleophora saxicolella
coleophora_serratella,Coleophora serratella
coleophora_spinella,Coleophora spinella
coleophora_striatipennella,Coleophora striatipennella
coleophora_taeniipennella,Coleophora taeniipennella
coleophora_tamesis,Coleophora tamesis
coleophora_trifolii,Coleophora trifolii
coleophora_violacea,Coleophora violacea
coleophora_virgaureae,Coleophora virgaureae
colocasia_coryli,Colocasia coryli
colostygia_multistrigaria,Colostygia multistrigaria
colostygia_olivata,Colostygia olivata
colostygia_pectinataria,Colostygia pectinataria
colotois_pennaria,Colotois pennaria
comibaena_bajularia,Comibaena bajularia
conistra_ligula,Conistra ligula
conistra_vaccinii,Conistra vaccinii
coptotriche_marginea,Coptotriche marginea
cosmia_affinis,Cosmia affinis
cosmia_diffinis,Cosmia diffinis
cosmia_trapezina,Cosmia trapezina
cosmorhoe_ocellata,Cosmorhoe ocellata
cossus_cossus,Cossus cossus
crambidae,Crambidae
crambus,Crambus
crambus_ericella,Crambus ericella
crambus_hamella,Crambus hamella
crambus_lathoniellus,Crambus lathoniellus
crambus_pascuella,Crambus pascuella
crambus_perlella,Crambus perlella
crambus_pratella,Crambus pratella
